ProjectName,NumberOfFilesAnalyized,LineOfCodeAnalyized,Events,Trace,TotalLineOfCode,TotalNumberOfFiles,PrecentageOfLinesAnalyized,PrecentageOfFilesAnalyized,MostLikelyHypothesis,LessLikelyHypothesis,totalAnalysisTime,recordingTime
/tenBugsTodo/bug-1/,18,487,37,5263,690,25,71%,72%,1,3,8.624 s,5.48 s
/tenBugsTodo/bug-2/,4,121,29,4934,702,25,17%,16%,1,2,8.226 s,6.249 s
/tenBugsTodo/bug-3/,3,103,12,648,716,25,14%,12%,1,2,5.831 s,3.065 s
/tenBugsTodo/bug-4/,15,495,16,1155,758,25,65%,60%,1,4,6.555 s,3.535 s
/tenBugsTodo/bug-5/,2,61,7,728,710,25,9%,8%,1,2,6.052 s,3.473 s
/tenBugsTodo/bug-6/,17,483,41,5965,705,25,69%,68%,1,3,9.047 s,6.817 s
/tenBugsTodo/bug-7/,17,498,45,5028,729,25,68%,68%,1,1,8.785 s,4.359 s
/tenBugsTodo/bug-8/,15,387,12,1160,698,25,55%,60%,1,2,6.57 s,2.867 s
/tenBugsTodo/bug-9/,5,240,12,805,736,25,33%,20%,1,3,5.952 s,3.176 s
/tenBugsTodo/bug-10/,5,243,12,714,739,25,33%,20%,1,3,6.385 s,2.768 s
